Date,SS Policy Inventory Level,"Fixed Order,Quantity Policy Inventory Level",Labelling Policy Inventory Level,Order-Up-To Policy Inventory Level,SS Policy Reorder Quantity,"Fixed Order,Quantity Reorder Quantity",Order-Up-To Policy Reorder Quantity,Labelling Reorder Quantity,SS Policy Reorder Date,"Fixed Order,Quantity Reorder Date",Order-Up-To Policy Reorder Date,Labelling Reorder Date,SS Policy Delivery Date,"Fixed Order,Quantity Policy Delivery Date",Order-Up-To Policy Delivery Date,Labelling Delivery Date
2025-01-01,100.0,100.0,100.0,100.0,,,,,No,No,No,No,No,No,No,No
2025-01-02,97.93425324998984,97.93425324998984,97.93425324998984,97.93425324998984,,,,,No,No,No,No,No,No,No,No
2025-01-03,79.3095870854996,79.3095870854996,79.3095870854996,79.3095870854996,,75,102.06574675001016,63.73364987733203,No,Yes,Yes,Yes,No,No,No,Yes
2025-01-04,66.31980096745673,66.31980096745673,66.31980096745673,66.31980096745673,,,,,No,No,No,No,No,No,No,No
2025-01-05,47.40294002796461,47.40294002796461,47.40294002796461,47.40294002796461,,,,,No,No,No,No,No,No,No,No
2025-01-06,37.52191608627271,37.52191608627271,37.52191608627271,37.52191608627271,,,,,No,No,No,No,No,No,No,No
2025-01-07,22.434527737372214,97.4345277373722,86.16817761470423,124.50027448738237,,,,,No,No,No,No,No,Yes,Yes,No
2025-01-08,12.920941290240616,87.9209412902406,76.65459116757263,114.98668804025077,,,,,No,No,No,No,No,No,No,No
2025-01-09,10.232942381130368,85.23294238113036,73.96659225846238,112.29868913114052,,,,,No,No,No,No,No,No,No,No
2025-01-10,-3.7975686283837895,71.2024313716162,59.93608124894823,98.26817812162636,27.5671960080663,75,87.70131086885948,77.3181728891658,Yes,Yes,Yes,Yes,No,No,No,Yes
2025-01-11,-7.3633502806912485,67.63664971930874,56.37029959664077,94.7023964693189,,,,,No,No,No,No,No,No,No,No
2025-01-12,-21.72045572331437,53.27954427668561,42.01319415401765,80.34529102669578,,,,,No,No,No,No,No,No,No,No
2025-01-13,-41.21527303076529,33.78472696923469,22.518376846566724,60.85047371924485,,,,,No,No,No,No,No,No,No,No
2025-01-14,-45.10898371284179,29.891016287158184,18.62466616449022,56.95676303716835,,,,,No,No,No,No,No,No,No,No
2025-01-15,-54.419755872346286,20.580244127653692,9.313894004985727,47.64599087766386,,,,,No,No,No,No,No,No,No,No
2025-01-16,-42.24179681598757,80.1910071759461,71.24282994244393,119.95806479481574,,,,,No,No,No,No,Yes,Yes,Yes,No
2025-01-17,-49.12225719630431,73.31054679562935,64.36236956212718,113.07760441449899,188.8043204773473,75,80.04193520518426,58.22682957857572,Yes,Yes,Yes,Yes,No,No,No,Yes
2025-01-18,-90.50075765427574,31.932046337657916,22.98386910415575,71.69910395652755,,,,,No,No,No,No,No,No,No,No
2025-01-19,-99.45411574891735,22.978688243016315,14.03051100951415,62.74574586188595,,,,,No,No,No,No,No,No,No,No
2025-01-20,-102.98876544904404,19.44403854288962,10.495861309387454,59.21109616175926,,,,,No,No,No,No,No,No,No,No
2025-01-21,69.44923793426906,78.07772144885543,52.35637379392898,122.88671427290932,,,,,No,No,No,No,Yes,Yes,Yes,No
2025-01-22,61.891768679460334,70.5202521940467,44.79890453912025,115.3292450181006,,,,,No,No,No,No,No,No,No,No
2025-01-23,47.80784113868758,56.43632465327394,30.714976998347492,101.24531747732783,,,,,No,No,No,No,No,No,No,No
2025-01-24,42.06722256273092,50.69570607731728,24.974358422390836,95.50469890137117,58.17068039318053,75,98.75468252267217,103.76216773467094,Yes,Yes,Yes,Yes,No,No,No,Yes
2025-01-25,27.644408329356953,36.27289184394331,10.55154418901687,81.0818846679972,,,,,No,No,No,No,No,No,No,No
2025-01-26,23.97332452065683,32.60180803524319,6.880460380316748,77.41080085929708,,,,,No,No,No,No,No,No,No,No
2025-01-27,18.531974185891297,27.160457700477654,1.4391100455512138,71.96945052453155,,,,,No,No,No,No,No,No,No,No
2025-01-28,63.60466712551212,89.06247024691794,92.10329032666245,157.62614559364403,,,,,No,No,No,No,Yes,Yes,Yes,No
2025-01-29,37.925761331294375,63.38356445270019,66.42438453244469,131.94723979942628,,,,,No,No,No,No,No,No,No,No
2025-01-30,20.73361333667792,46.19141645808374,49.232236537828236,114.75509180480984,,,,,No,No,No,No,No,No,No,No
2025-01-31,12.064331083108861,37.52213420451468,40.56295428425918,106.08580955124077,129.66309562294728,75,85.24490819519016,62.343892233524,Yes,Yes,Yes,Yes,No,No,No,Yes
2025-02-01,8.51505778742014,33.97286090882596,37.01368098857046,102.53653625555205,,,,,No,No,No,No,No,No,No,No
2025-02-02,-12.300930697366518,13.1568724240393,16.1976925037838,81.72054777076539,,,,,No,No,No,No,No,No,No,No
2025-02-03,-22.758004625193664,2.6997984962121517,5.740618575956651,71.26347384293824,,,,,No,No,No,No,No,No,No,No
2025-02-04,-32.86430546556092,-7.406502344155101,-4.3656822644106015,61.157173002570985,,,,,No,No,No,No,No,No,No,No
2025-02-05,75.31807333526748,46.11278083372601,36.497493146994515,124.92136437564227,,,,,No,No,No,No,Yes,Yes,Yes,No
2025-02-06,66.93748854093866,37.732196039397195,28.116908352665696,116.54077958131344,,,,,No,No,No,No,No,No,No,No
2025-02-07,57.012956036825926,27.80766353528446,18.19237584855296,106.61624707720071,21.46361168462869,75,83.45922041868656,87.10481325352848,Yes,Yes,Yes,Yes,No,No,No,Yes
2025-02-08,47.489862441842014,18.284569940300543,8.669282253569046,97.09315348221679,,,,,No,No,No,No,No,No,No,No
2025-02-09,38.04527935257362,8.83998685103215,-0.7753008356993476,87.6485703929484,,,,,No,No,No,No,No,No,No,No
2025-02-10,55.56947997208824,79.90057578591808,82.39010135271506,167.16837974652088,,,,,No,No,No,No,Yes,Yes,Yes,No
2025-02-11,54.270270018814045,78.60136583264388,81.09089139944086,165.8691697932467,,,,,No,No,No,No,No,No,No,No
2025-02-12,43.41122491556413,67.74232072939395,70.23184629619094,155.0101246899968,,,,,No,No,No,No,No,No,No,No
2025-02-13,39.61570923230102,63.94680504613085,66.43633061292783,151.21460900673367,,,,,No,No,No,No,No,No,No,No
2025-02-14,33.262158292477444,57.59325410630727,60.082779673104255,144.8610580669101,81.65896027943735,75,48.78539099326633,89.6465614216649,Yes,Yes,Yes,Yes,No,No,No,Yes
2025-02-15,20.854124280999176,45.185220094829006,47.67474566162599,132.45302405543183,,,,,No,No,No,No,No,No,No,No
2025-02-16,18.32680802242223,42.65790383625206,45.147429403049046,129.92570779685488,,,,,No,No,No,No,No,No,No,No
2025-02-17,-16.896088876514067,7.435006937315762,9.924532504112747,94.70281089791858,,,,,No,No,No,No,No,No,No,No
2025-02-18,-43.69079739982516,-19.359701585995325,-16.87017601919834,67.9081023746075,,,,,No,No,No,No,No,No,No,No
2025-02-19,29.53669740917699,47.208832943569476,64.34491993203136,108.26202789743863,,,,,No,No,No,No,Yes,Yes,Yes,No
2025-02-20,18.011680114373313,35.6838156487658,52.819902637227685,96.73701060263495,,,,,No,No,No,No,No,No,No,No
2025-02-21,12.230873045658004,29.903008580050493,47.03909556851238,90.95620353391965,63.6736322138745,75,103.26298939736505,40.73250489444047,Yes,Yes,Yes,Yes,No,No,No,Yes
2025-02-22,10.69544826786849,28.36758380226098,45.503670790722865,89.42077875613013,,,,,No,No,No,No,No,No,No,No
2025-02-23,6.417296574841553,24.089432109234043,41.22551909769593,85.14262706310319,,,,,No,No,No,No,No,No,No,No
2025-02-24,-17.897265075973753,-0.2251295415812642,16.910957446880623,60.828065412287884,,,,,No,No,No,No,No,No,No,No
2025-02-25,-28.45467158303078,-10.782536048638294,6.353550939823593,50.27065890523085,,,,,No,No,No,No,No,No,No,No
2025-02-26,-30.11213123189904,-12.439995697506552,4.696091290955335,48.6131992563626,,,,,No,No,No,No,No,No,No,No
2025-02-27,22.54777237499054,51.54627569550853,34.41486757841089,140.8624600467427,,,,,No,No,No,No,Yes,Yes,Yes,No
2025-02-28,-1.6358708940604139,27.362632426457573,10.231224309359938,116.67881677769176,,,,,No,No,No,No,No,No,No,No
2025-03-01,-6.0862881347050255,22.91221518581296,0.0,112.22839953704715,,,,,No,No,No,No,No,No,No,No
