Date,SS Policy Inventory Level,"Fixed Order,Quantity Policy Inventory Level",Labelling Policy Inventory Level,Order-Up-To Policy Inventory Level,SS Policy Reorder Quantity,"Fixed Order,Quantity Reorder Quantity",Order-Up-To Policy Reorder Quantity,Labelling Reorder Quantity,SS Policy Reorder Date,"Fixed Order,Quantity Reorder Date",Order-Up-To Policy Reorder Date,Labelling Reorder Date,SS Policy Delivery Date,"Fixed Order,Quantity Policy Delivery Date",Order-Up-To Policy Delivery Date,Labelling Delivery Date
2025-01-01,100.0,100.0,100.0,100.0,,,,,No,No,No,No,No,No,No,No
2025-01-02,98.48737270820575,98.48737270820575,98.48737270820575,98.48737270820575,,,,,No,No,No,No,No,No,No,No
2025-01-03,88.64645596090105,88.64645596090105,88.64645596090105,88.64645596090105,,75,101.51262729179425,35.88480090779686,No,Yes,Yes,Yes,No,No,No,Yes
2025-01-04,78.2850747012549,78.2850747012549,78.2850747012549,78.2850747012549,,,,,No,No,No,No,No,No,No,No
2025-01-05,53.50562202634318,53.50562202634318,53.50562202634318,53.50562202634318,,,,,No,No,No,No,No,No,No,No
2025-01-06,44.659787815029915,119.65978781502993,80.54458872282679,146.17241510682416,,,,,No,No,No,No,No,Yes,Yes,No
2025-01-07,32.85050376102824,107.85050376102825,68.73530466882511,134.3631310528225,,,,,No,No,No,No,No,No,No,No
2025-01-08,23.058774379259702,98.05877437925972,58.94357528705657,124.57140167105396,,,,,No,No,No,No,No,No,No,No
2025-01-09,20.070842604976896,95.0708426049769,55.95564351277376,121.58346989677115,,,,,No,No,No,No,No,No,No,No
2025-01-10,3.2139057178867745,78.21390571788677,39.09870662568364,104.72653300968102,15.927873250981365,75,78.41653010322885,78.88822688914061,Yes,Yes,Yes,Yes,No,No,No,Yes
2025-01-11,-11.29769247823387,63.70230752176613,24.587108429562996,90.21493481356038,,,,,No,No,No,No,No,No,No,No
2025-01-12,-26.04388416049215,48.956115839507845,9.840916747304714,75.46874313130209,,,,,No,No,No,No,No,No,No,No
2025-01-13,-30.58755943172372,44.41244056827628,5.297241476073148,70.92506786007053,,,,,No,No,No,No,No,No,No,No
2025-01-14,-33.07645204635895,100.99567470265968,65.76870249959717,130.92483209768278,,,,,No,No,No,No,Yes,Yes,Yes,No
2025-01-15,-34.665345669605266,99.40678107941338,64.17980887635085,129.33593847443646,,,,,No,No,No,No,No,No,No,No
2025-01-16,-48.18648823240689,85.88563851661175,50.658666313549226,115.81479591163483,,,,,No,No,No,No,No,No,No,No
2025-01-17,-71.32922198726676,62.74290476175187,27.515932558689354,92.67206215677496,148.76902714470805,75,84.18520408836517,55.92143529208941,Yes,Yes,Yes,Yes,No,No,No,Yes
2025-01-18,-75.38600403648263,58.686122712536005,23.459150509473485,88.61528010755909,,,,,No,No,No,No,No,No,No,No
2025-01-19,-81.988217658866,52.08390909015264,16.856936887090114,82.01306648517571,,,,,No,No,No,No,No,No,No,No
2025-01-20,-92.58612584939185,41.48600089962679,6.2590286965642665,71.41515829464987,,,,,No,No,No,No,No,No,No,No
2025-01-21,49.20375522001339,109.50685482432398,55.20131791335087,148.62121630771225,,,,,No,No,No,No,Yes,Yes,Yes,No
2025-01-22,48.50773580641019,108.81083541072078,54.50529849974767,147.92519689410904,,,,,No,No,No,No,No,No,No,No
2025-01-23,38.09635795757403,98.39945756188462,44.0939206509115,137.51381904527287,,,,,No,No,No,No,No,No,No,No
2025-01-24,34.470180239930656,94.77327984424124,40.46774293326813,133.8876413276295,46.61287650390086,75,62.48618095472713,59.854695080570906,Yes,Yes,Yes,Yes,No,No,No,Yes
2025-01-25,21.628625656119567,81.93172526043016,27.62618834945704,121.0460867438184,,,,,No,No,No,No,No,No,No,No
2025-01-26,17.145171061522387,77.44827066583298,23.142733754859858,116.56263214922123,,,,,No,No,No,No,No,No,No,No
