Date,SS Policy Inventory Level,"Fixed Order,Quantity Policy Inventory Level",Labelling Policy Inventory Level,Order-Up-To Policy Inventory Level,SS Policy Reorder Quantity,"Fixed Order,Quantity Reorder Quantity",Order-Up-To Policy Reorder Quantity,Labelling Reorder Quantity,SS Policy Reorder Date,"Fixed Order,Quantity Reorder Date",Order-Up-To Policy Reorder Date,Labelling Reorder Date,SS Policy Delivery Date,"Fixed Order,Quantity Policy Delivery Date",Order-Up-To Policy Delivery Date,Labelling Delivery Date
2025-01-01,100.0,100.0,100.0,100.0,,,,,No,No,No,No,No,No,No,No
2025-01-02,89.0,89.0,89.0,89.0,,,,,No,No,No,No,No,No,No,No
2025-01-03,84.0,84.0,84.0,84.0,1.0079177244018904,75,111.0,16.0,Yes,Yes,Yes,Yes,No,No,No,Yes
2025-01-04,76.0,76.0,76.0,76.0,,,,,No,No,No,No,No,No,No,No
2025-01-05,63.0,63.0,63.0,63.0,,,,,No,No,No,No,No,No,No,No
2025-01-06,52.0,52.0,52.0,52.0,,,,,No,No,No,No,No,No,No,No
2025-01-07,45.0,45.0,45.0,45.0,,,,,No,No,No,No,No,No,No,No
2025-01-08,38.00791772440189,112.0,53.0,148.0,,,,,No,No,No,No,Yes,Yes,Yes,No
2025-01-09,27.007917724401892,101.0,42.0,137.0,,,,,No,No,No,No,No,No,No,No
2025-01-10,12.007917724401892,86.0,27.0,122.0,73.0,75,63.0,107.0,Yes,Yes,Yes,Yes,No,No,No,Yes
2025-01-11,4.007917724401892,78.0,19.0,114.0,,,,,No,No,No,No,No,No,No,No
2025-01-12,-9.992082275598108,64.0,5.0,100.0,,,,,No,No,No,No,No,No,No,No
2025-01-13,-15.992082275598108,58.0,-1.0,94.0,,,,,No,No,No,No,No,No,No,No
2025-01-14,41.00791772440189,117.0,90.0,141.0,,,,,No,No,No,No,Yes,Yes,Yes,No
2025-01-15,30.007917724401892,106.0,79.0,130.0,,,,,No,No,No,No,No,No,No,No
2025-01-16,24.007917724401892,100.0,73.0,124.0,,,,,No,No,No,No,No,No,No,No
2025-01-17,10.007917724401892,86.0,59.0,110.0,33.0,75,76.0,53.0,Yes,Yes,Yes,Yes,No,No,No,Yes
2025-01-18,-1.9920822755981078,74.0,47.0,98.0,,,,,No,No,No,No,No,No,No,No
2025-01-19,-10.992082275598108,65.0,38.0,89.0,,,,,No,No,No,No,No,No,No,No
2025-01-20,-20.992082275598108,55.0,28.0,79.0,,,,,No,No,No,No,No,No,No,No
2025-01-21,-33.99208227559811,42.0,15.0,66.0,,,,,No,No,No,No,No,No,No,No
2025-01-22,-48.99208227559811,27.0,0.0,51.0,,,,,No,No,No,No,No,No,No,No
2025-01-23,-24.992082275598108,93.0,44.0,118.0,,,,,No,No,No,No,Yes,Yes,Yes,No
2025-01-24,-35.99208227559811,82.0,33.0,107.0,100.0,75,82.0,50.0,Yes,Yes,Yes,Yes,No,No,No,Yes
2025-01-25,-45.99208227559811,72.0,23.0,97.0,,,,,No,No,No,No,No,No,No,No
2025-01-26,-53.99208227559811,64.0,15.0,89.0,,,,,No,No,No,No,No,No,No,No
2025-01-27,-54.99208227559811,63.0,14.0,88.0,,,,,No,No,No,No,No,No,No,No
2025-01-28,-67.99208227559811,50.0,1.0,75.0,,,,,No,No,No,No,No,No,No,No
2025-01-29,26.007917724401892,119.0,45.0,151.0,,,,,No,No,No,No,Yes,Yes,Yes,No
2025-01-30,13.007917724401892,106.0,32.0,138.0,,,,,No,No,No,No,No,No,No,No
2025-01-31,2.007917724401892,95.0,21.0,127.0,97.0,75,62.0,96.0,Yes,Yes,Yes,Yes,No,No,No,Yes
