Date,PTO Policy Inventory Level,Fixed Order-Quantity Policy Inventory Level,E2E Policy Inventory Level,Order-Up-To Policy Inventory Level,PTO Policy Reorder Quantity,Fixed Order-Quantity Reorder Quantity,Order-Up-To Policy Reorder Quantity,E2E Reorder Quantity,PTO Policy Reorder Date,Fixed Order-Quantity Reorder Date,Order-Up-To Policy Reorder Date,E2E Reorder Date,PTO Policy Delivery Date,Fixed Order-Quantity Policy Delivery Date,Order-Up-To Policy Delivery Date,E2E Delivery Date
2025-01-01,100.0,100.0,100.0,100.0,,,,,No,No,No,No,No,No,No,No
2025-01-02,90.26093909971932,90.26093909971932,90.26093909971932,90.26093909971932,,,,,No,No,No,No,No,No,No,No
2025-01-03,72.28430440338269,72.28430440338269,72.28430440338269,72.28430440338269,23.269115503691324,75,109.73906090028068,22.408624586592424,Yes,Yes,Yes,Yes,No,No,No,Yes
2025-01-04,67.2666435053028,67.2666435053028,67.2666435053028,67.2666435053028,,,,,No,No,No,No,No,No,No,No
2025-01-05,63.16554673427501,63.16554673427501,63.16554673427501,63.16554673427501,,,,,No,No,No,No,No,No,No,No
2025-01-06,47.85388384881447,47.85388384881447,47.85388384881447,47.85388384881447,,,,,No,No,No,No,No,No,No,No
2025-01-07,43.86965887027158,43.86965887027158,43.86965887027158,43.86965887027158,,,,,No,No,No,No,No,No,No,No
2025-01-08,59.43453727777074,111.1654217740794,58.57404636067184,145.90448267436008,,,,,No,No,No,No,Yes,Yes,Yes,No
2025-01-09,46.249845848514326,97.980730344823,45.389354931415426,132.71979124510366,,,,,No,No,No,No,No,No,No,No
2025-01-10,40.49868715353914,92.22957164984781,39.63819623644024,126.96863255012848,81.1754697798522,75,67.28020875489634,41.85375581699351,Yes,Yes,Yes,Yes,No,No,No,Yes
2025-01-11,29.333266060601076,81.06415055690975,28.472775143502176,115.80321145719041,,,,,No,No,No,No,No,No,No,No
2025-01-12,19.021050003767236,70.75193450007592,18.160559086668336,105.49099540035658,,,,,No,No,No,No,No,No,No,No
2025-01-13,18.837125613435546,70.56801010974422,17.976634696336646,105.30707101002488,,,,,No,No,No,No,No,No,No,No
2025-01-14,9.83532361783294,61.56620811414162,8.974832700734039,96.30526901442228,,,,,No,No,No,No,No,No,No,No
2025-01-15,78.72857646333193,124.2839911797884,38.54637158337435,151.30326083496544,,,,,No,No,No,No,Yes,Yes,Yes,No
